"sp"	"estado"	"accion"	"source_len"	"target_len"
"sp_existecierrealmacen"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_existecierrealmacenprpd"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_inicio_aprobarporidhoy"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_inicio_aprobarsupervisor"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_inicio_listarconfirmadoshoytodos"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_inicio_listarconfirmadossupervisorhoy"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_inicio_listarpendienteshoytodos"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_inicio_listarpendientessupervisorhoy"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_inicio_rechazarporidhoy"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_inicio_rechazarsupervisor"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_iniciojornada_cerrar"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_iniciojornada_countnomarco"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_iniciojornada_estadocierrehoy"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_iniciojornada_existependientehoy"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_iniciojornada_existeregistrohoy"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_iniciojornada_marcarnocierreatrasado"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_iniciojornada_registrar"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_modificarot_otrealizada"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_nps_dashboard_consulta"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_nps_filtros_central_nombres"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_nps_listar_supervisores_sucursal"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_nps_listar_tecnicos_por_supervisor"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_nps_listar_tecnicos_supervisor_central"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_nps_listar_tecnicos_supervisor_historico"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_obtenerdetalleventa_excedente_x_id"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_obtenerestado"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_obtenerkitdecodificadores"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_obtenerlistaordenestrabajo"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_obtenerlistaordenestrabajo_otweb"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_obtenerlistaordenestrabajorfechas"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_obtenerordentrabajo_x_numero"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_obtenertipomaterial"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_supervision_listartipospenalizacion"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_supervision_listartipossupervision"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_supervision_listartipostrabajo"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_tecnico_obtenernombreporid"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_traertodoslosproductosmascara"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_usuario_listaractivosbasico"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_validamovimientos"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spb_saldorutascantidad_x_ruta"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spr_traervendedores_x_formtecnico"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_actualizarconformacioncuadrillabackoffice"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_actualizarconformacioncuadrillaweb"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_buscarserialcargousuario"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_cambiarpasswordusuarioporid"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_central_actualizarsupervisorconformacion"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_central_buscarsupervisorportecnicoconformacion"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_central_obtenertecnicosporsupervisorconformacion"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_eliminarcodigousuario_venta"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_eliminarconformacioncuadrillaweb"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_existecierrealmacenhoy"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_existecierrealmacenhoypr_pd"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_existeregistroconformacioncuadrilladiario"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_grupo_asignarsupervisorcentral"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_grupo_asignartecnicocentral"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_grupo_cambiarcolaboradorbackupcentral"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_grupo_crearcentral"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_grupo_eliminarcentral"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_grupo_filtrosupervisorescentral"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_grupo_filtrotecnicoscentral"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_grupo_listarcentral"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_grupo_marcarsupervisorausentecentral"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_grupo_quitartecnicocentral"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_grupo_restaurarsupervisorcentral"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_guardarpaginaspormenu"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_guardarprivilegiosrol"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_guardarrelacioncuadrilla"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_la_listartecnicossucursal"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_listarllamadaatencion"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_listarotfinalizadas"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_listarsupervisionmanual"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_listartipocomunicacionllamadaatencion"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_modificarordentrabajofecha"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_obteneractividadesconformacioncuadrillaweb"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_obtenerauxiliaresconformacioncuadrillaweb"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_obtenercaberaventapararegistrootwb"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_obtenercargousuarionorealizado_id"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
