"sp"	"estado"	"accion"	"source_len"	"target_len"
"sp_existecierrealmacen"	"IGUAL_LOGICA"	"SKIP"	"2924"	"2920"
"sp_existecierrealmacenprpd"	"IGUAL_LOGICA"	"SKIP"	"2943"	"2939"
"sp_inicio_aprobarporidhoy"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_inicio_aprobarsupervisor"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_inicio_listarconfirmadoshoytodos"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_inicio_listarconfirmadossupervisorhoy"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_inicio_listarpendienteshoytodos"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_inicio_listarpendientessupervisorhoy"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_inicio_rechazarporidhoy"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_inicio_rechazarsupervisor"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_iniciojornada_cerrar"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_iniciojornada_countnomarco"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_iniciojornada_estadocierrehoy"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_iniciojornada_existependientehoy"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_iniciojornada_existeregistrohoy"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_iniciojornada_marcarnocierreatrasado"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_iniciojornada_registrar"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_modificarot_otrealizada"	"IGUAL_LOGICA"	"SKIP"	"217"	"217"
"sp_nps_dashboard_consulta"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_nps_filtros_central_nombres"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_nps_listar_supervisores_sucursal"	"FALTA_EN_TARIJA"	"CREATE"	"415"	"0"
"sp_nps_listar_tecnicos_por_supervisor"	"FALTA_EN_TARIJA"	"CREATE"	"1283"	"0"
"sp_nps_listar_tecnicos_supervisor_central"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_nps_listar_tecnicos_supervisor_historico"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_obtenerdetalleventa_excedente_x_id"	"IGUAL_LOGICA"	"SKIP"	"646"	"646"
"sp_obtenerestado"	"IGUAL_LOGICA"	"SKIP"	"80"	"80"
"sp_obtenerkitdecodificadores"	"IGUAL_LOGICA"	"SKIP"	"133"	"133"
